x,y,time
0.0,0.0,6.660528549
-0.032344781962212264,-0.032344781962212264,6.660528549
0.08829602186844715,0.08829602186844715,7.36604097
0.19781579090793688,0.19781579090793688,8.122863005
0.3362774199280272,0.3362774199280272,8.926766887
0.491130183255607,0.491130183255607,9.522479
0.8376469269864508,0.8376469269864508,10.28528423
1.2359261197378273,1.2359261197378273,12.07545853
1.617947156773382,1.617947156773382,12.98258791
2.003280078772734,2.003280078772734,13.70479083
2.394994622027549,2.394994622027549,14.31043356
2.776357684679591,2.776357684679591,15.0387229
3.1652036309991605,3.1652036309991605,15.67718498
3.557904047762987,3.557904047762987,16.45811797
3.9481736462526036,3.9481736462526036,17.40020882
